Category,Item,Variant / Protein Option,Serving,PRICE,Ingredients (Detailed Grams per Serving),Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g),Sodium (mg),Description,Modifier Group 1 (Spice Level / Options),Modifier Group 2 (Sides Choice),Add-On Options
Chicken,Chicken Pesto,,150g,25,"Chicken Breast (100g), Pesto Sauce (50g: Basil 20g, Olive Oil 15g, Parmesan 8g, Pine Nuts 5g, Garlic 2g, Salt 1g)",0,0,0,0,0,0,Tender chicken finished with creamy basil pesto sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Yellow Curry,,150g,25,"Chicken Breast (90g), Yellow Curry Sauce (60g: Coconut Milk 30g, Onion 10g, Yellow Curry Paste 8g, Chicken Stock 8g, Fish Sauce 2g, Sugar 2g)",0,0,0,0,0,0,Tender chicken simmered in aromatic yellow curry sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Cajun Chicken,,150g,30,"Chicken Breast (125g), Olive Oil (5g), Cajun Seasoning (8g: Paprika, Garlic, Onion, Cayenne, Oregano, Thyme, Salt), Butter (2g), Lemon Juice (5g)",0,0,0,0,0,0,Tender Cajun-seasoned chicken with a mildly spicy finish,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Casserole,,150g,25,"Chicken Breast (90g), Chicken Stock (30g), Cream (15g), Carrots (10g), Celery (5g), Flour (3g), Butter (2g), Salt (1g), Thyme (1g), Mushrooms (15g)",0,0,0,0,0,0,Tender chicken baked in a rich and comforting casserole,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Noodles,,150g,25,"Chicken Breast (75g), Noodles (50g: Wheat Flour, Water), Vegetables (15g: Carrots, Cabbage, Peppers), Soy Sauce (8g), Oyster Sauce (2g), Vegetable Oil (5g), Ginger (1g), Garlic (1g)",0,0,0,0,0,0,Tender chicken combined with stir-fried noodles and vegetables,Spicy / Non-Spicy,,Next Page
Chicken,Chicken Broccoli,,150g,25,"Chicken Breast (100g), Broccoli (40g), Olive Oil (5g), Garlic (3g), Salt (1g), Black Pepper (1g), Lemon Juice (5g)",0,0,0,0,0,0,Tender chicken paired with fresh broccoli and light seasoning,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Tandoori Chicken,,150g,30,"Chicken Breast (115g), Yogurt (20g), Tandoori Masala (8g: Cumin, Coriander, Paprika, Cayenne, Ginger, Garlic), Lemon Juice (5g), Olive Oil (2g)",0,0,0,0,0,0,Tender chicken marinated in aromatic tandoori spices and grilled,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Grilled Beef Steak,,150g,40,"Beef Sirloin Steak (140g), Olive Oil (5g), Salt (1g), Black Pepper (2g), Garlic Powder (1g), Butter (6g), Thyme (1g)",0,0,0,0,0,0,Juicy beef steak grilled and seasoned to perfection,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Beef Mushroom,,150g,40,"Beef Strips (100g), Mushroom Sauce (50g: Heavy Cream 20g, Mushrooms 15g, Beef Stock 10g, Flour 3g, Salt 1g, Pepper 1g)",0,0,0,0,0,0,Tender beef with creamy mushroom sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Pepper Steak,,150g,40,"Beef Strips (100g), Bell Peppers (20g), Onion (10g), Olive Oil (5g), Black Pepper (5g), Garlic (2g), Salt (1g), Beef Stock (5g), Cornstarch (2g)",0,0,0,0,0,0,Tender beef steak sautéed with peppers and savory seasoning,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Mustard Beef Steak,,150g,40,"Beef Sirloin (120g), Mustard Sauce (30g: Dijon Mustard 15g, Cream 10g, Beef Stock 3g, Salt 1g, Pepper 1g)",0,0,0,0,0,0,Juicy beef steak finished with tangy mustard sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Barbecue Beef,,150g,40,"Beef Strips (100g), BBQ Sauce (50g: Ketchup 15g, Brown Sugar 10g, Vinegar 8g, Worcestershire 5g, Smoked Paprika 3g, Garlic 2g, Onion Powder 2g, Water 5g)",0,0,0,0,0,0,Tender beef glazed with smoky barbecue sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Beef Casserole,,150g,40,"Beef Chunks (90g), Beef Stock (30g), Carrots (10g), Celery (5g), Potatoes (10g), Flour (3g), Butter (2g), Salt (1g), Thyme (1g), Mushrooms (15g)",0,0,0,0,0,0,Tender beef baked in a rich and comforting casserole,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Beef Noodles,,150g,40,"Beef Strips (75g), Noodles (50g: Wheat Flour, Water), Vegetables (15g: Carrots, Cabbage, Peppers), Soy Sauce (8g), Oyster Sauce (2g), Vegetable Oil (5g), Ginger (1g), Garlic (1g)",0,0,0,0,0,0,Tender beef tossed with stir-fried noodles and savory seasoning,Spicy / Non-Spicy,,Next Page
Beef,3 Mini Beef in Mushroom Sauce,,150g,40,"Beef Mini Patties (90g, 3x30g), Mushroom Sauce (60g: Heavy Cream 25g, Mushrooms 20g, Beef Stock 10g, Flour 3g, Salt 1g, Pepper 1g)",0,0,0,0,0,0,Three tender mini beef portions served with creamy mushroom sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Scottish Fillet Beef Stew,,Standard,38,"Beef Fillet Chunks (120g), Potatoes (30g), Carrots (20g), Onion (15g), Beef Stock (45g), Tomato Paste (5g), Flour (4g), Thyme (2g), Salt (1g), Butter (5g)",0,0,0,0,0,0,Scottish-style beef fillet stew,,,
Beef,Mini Beef Milanese,,Standard,38,"Beef (90g, 3x30g), Breadcrumbs (25g), Egg (10g), Parmesan (5g), Olive Oil (15g), Salt (1g), Pepper (1g), Parsley (2g)",0,0,0,0,0,0,Mini beef Milanese,,,
Beef,Beef Kabab,,150g,40,"Ground Beef (115g), Onion (15g), Parsley (5g), Cumin (2g), Coriander (2g), Garlic (2g), Salt (1g), Black Pepper (1g), Olive Oil (7g)",0,0,0,0,0,0,Juicy seasoned beef kebab grilled to perfection,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Beef,Beef Balls in Tomato Sauce,,150g,40,"Ground Beef (90g), Breadcrumbs (10g), Egg (5g), Tomato Sauce (45g: Crushed Tomatoes 30g, Tomato Paste 5g, Olive Oil 3g, Garlic 2g, Onion 3g, Salt 1g, Oregano 1g)",0,0,0,0,0,0,Tender beef balls simmered in rich tomato sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Smoked Salmon,,150g,45,"Smoked Salmon Fillet (130g), Olive Oil (2g), Dill (2g), Capers (5g), Lemon Wedge (6g), Black Pepper (1g), Salt (1g)",0,0,0,0,0,0,Fresh salmon fillet grilled and seasoned to perfection,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Salmon Mushroom with Spinach,,150g,45,"Salmon Fillet (100g), Mushroom Sauce (30g: Heavy Cream 12g, Mushrooms 10g, Fish Stock 5g, Flour 2g, Salt 1g), Spinach (20g)",0,0,0,0,0,0,Tender salmon with creamy mushroom sauce and spinach,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Teriyaki Salmon,,150g,45,"Salmon Fillet (105g), Teriyaki Sauce (45g: Soy Sauce 15g, Mirin 10g, Sake 10g, Sugar 5g, Cornstarch 2g, Ginger 2g, Garlic 1g)",0,0,0,0,0,0,Grilled salmon glazed with sweet and savory teriyaki sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Lemon Garlic Salmon,,150g,45,"Salmon Fillet (130g), Olive Oil (5g), Lemon Juice (10g), Garlic (3g), Salt (1g), Black Pepper (1g), Parsley (2g)",0,0,0,0,0,0,Tender salmon finished with fresh lemon and garlic,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Dill Salmon,,150g,45,"Salmon Fillet (130g), Olive Oil (5g), Fresh Dill (3g), Lemon Juice (5g), Salt (1g), Black Pepper (1g), Garlic (2g)",0,0,0,0,0,0,Tender salmon seasoned with aromatic dill,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Grilled White Fish,,150g,30,"White Fish Fillet (Hammour/Sea Bream) (135g), Olive Oil (5g), Lemon Juice (5g), Salt (1g), Black Pepper (1g), Paprika (1g), Garlic Powder (1g)",0,0,0,0,0,0,Fresh white fish grilled with light herbs and seasoning,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,White Fish w/ Mushroom Sauce,,150g,30,"White Fish Fillet (100g), Mushroom Sauce (50g: Heavy Cream 20g, Mushrooms 15g, Fish Stock 10g, Flour 3g, Salt 1g, Pepper 1g)",0,0,0,0,0,0,Tender white fish served with creamy mushroom sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Tuna,,150g,25,"Tuna Steak (140g), Olive Oil (5g), Salt (1g), Black Pepper (1g), Lemon Juice (5g)",0,0,0,0,0,0,Tender tuna seasoned simply for a light and protein-rich meal,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Grilled Shrimp,,150g,30,"Shrimp (110g, Peeled), Olive Oil (5g), Garlic (3g), Lemon Juice (10g), Salt (1g), Black Pepper (1g), Paprika (1g), Parsley (2g)",0,0,0,0,0,0,Juicy shrimp grilled with light herbs and seasoning,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Shrimp with Mushroom Sauce,,150g,35,"Shrimp (90g), Mushroom Sauce (60g: Heavy Cream 25g, Mushrooms 20g, Fish Stock 10g, Flour 3g, Salt 1g, Pepper 1g)",0,0,0,0,0,0,Tender shrimp served with creamy mushroom sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Shrimp in Tomato Sauce,,150g,30,"Shrimp (90g), Tomato Sauce (60g: Crushed Tomatoes 40g, Tomato Paste 5g, Olive Oil 3g, Garlic 2g, Onion 3g, Salt 1g, Oregano 1g, Water 5g)",0,0,0,0,0,0,Tender shrimp simmered in a rich tomato sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Shrimp BBQ,,150g,30,"Shrimp (90g), BBQ Sauce (60g: Ketchup 15g, Brown Sugar 10g, Vinegar 8g, Worcestershire 5g, Smoked Paprika 3g, Garlic 2g, Onion Powder 2g, Water 15g)",0,0,0,0,0,0,"Juicy shrimp glazed in a smoky, tangy BBQ sauce.",Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Lemon Garlic Shrimp,,150g,35,"Shrimp (110g), Olive Oil (8g), Lemon Juice (15g), Garlic (5g), Salt (1g), Black Pepper (1g), Parsley (3g), Butter (7g)",0,0,0,0,0,0,Juicy shrimp sautéed with fresh lemon and garlic,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Dill Shrimp,,150g,35,"Shrimp (110g), Olive Oil (5g), Fresh Dill (3g), Lemon Juice (10g), Butter (10g), Salt (1g), Black Pepper (1g), Garlic (2g)",0,0,0,0,0,0,Juicy shrimp seasoned with aromatic dill,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Seafood,Dynamite Shrimp,,150g,35,"Shrimp (90g), Dynamite Sauce (60g: Mayonnaise 30g, Sriracha 10g, Sugar 5g, Rice Vinegar 5g, Garlic Powder 2g, Paprika 1g, Water 7g)",0,0,0,0,0,0,Crispy shrimp tossed in creamy spicy dynamite sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Biryani & Risotto,Biryani,Chicken,Standard,32,"Basmati Rice (180g), Chicken (120g), Onion (40g), Yogurt (30g), Tomato (20g), Biryani Spices (10g: Cinnamon, Cardamom, Cloves, Cumin, Coriander, Chili), Ginger-Garlic Paste (10g), Saffron (1g), Mint (5g), Coriander (5g), Ghee (15g)",0,0,0,0,0,0,Aromatic spiced rice dish prepared with your choice of protein,,,Next Page
Biryani & Risotto,Biryani,Shrimp,Standard,35,"Basmati Rice (180g), Shrimp (100g), Onion (40g), Yogurt (30g), Tomato (20g), Biryani Spices (10g), Ginger-Garlic Paste (10g), Saffron (1g), Mint (5g), Coriander (5g), Ghee (15g)",0,0,0,0,0,0,Aromatic spiced rice dish prepared with your choice of protein,,,Next Page
Biryani & Risotto,Biryani,Beef,Standard,38,"Basmati Rice (180g), Beef Chunks (100g), Onion (40g), Yogurt (30g), Tomato (20g), Biryani Spices (10g), Ginger-Garlic Paste (10g), Saffron (1g), Mint (5g), Coriander (5g), Ghee (15g)",0,0,0,0,0,0,Aromatic spiced rice dish prepared with your choice of protein,,,Next Page
Biryani & Risotto,Biryani,Salmon,Standard,30,"Basmati Rice (180g), Salmon Fillet (100g), Onion (40g), Yogurt (30g), Tomato (20g), Biryani Spices (10g), Ginger-Garlic Paste (10g), Saffron (1g), Mint (5g), Coriander (5g), Ghee (15g)",0,0,0,0,0,0,Aromatic spiced rice dish prepared with your choice of protein,,,Next Page
Biryani & Risotto,Biryani,White Fish,Standard,25,"Basmati Rice (200g), White Fish Fillet (120g), Onion (35g), Yogurt (25g), Tomato (15g), Biryani Spices (10g), Ginger-Garlic Paste (10g), Saffron (1g), Mint (5g), Coriander (5g), Ghee (15g)",0,0,0,0,0,0,Aromatic spiced rice dish prepared with your choice of protein,,,Next Page
Biryani & Risotto,Maghboos,Chicken,Standard,25,"Basmati Rice (180g), Chicken (100g), Onion (40g), Tomato (25g), Maghboos Spices (10g: Cinnamon, Cardamom, Cloves, Cumin, Coriander, Chili, Turmeric), Garlic (5g), Salt (5g), Dried Lime (5g), Ghee (10g), Water (100g for cooking rice)",0,0,0,0,0,0,Fragrant Gulf-style spiced rice with your choice of protein,,,Next Page
Biryani & Risotto,Maghboos,Beef,Standard,35,"Basmati Rice (180g), Beef Chunks (100g), Onion (40g), Tomato (25g), Maghboos Spices (10g), Garlic (5g), Salt (5g), Dried Lime (5g), Ghee (10g), Water (100g)",0,0,0,0,0,0,Fragrant Gulf-style spiced rice with your choice of protein,,,Next Page
Biryani & Risotto,Maghboos,Shrimp,Standard,20,"Basmati Rice (190g), Shrimp (90g), Onion (40g), Tomato (25g), Maghboos Spices (10g), Garlic (5g), Salt (5g), Dried Lime (5g), Ghee (10g), Water (100g)",0,0,0,0,0,0,Fragrant Gulf-style spiced rice with your choice of protein,,,Next Page
Biryani & Risotto,Maghboos,Salmon,Standard,30,"Basmati Rice (190g), Salmon Fillet (90g), Onion (40g), Tomato (25g), Maghboos Spices (10g), Garlic (5g), Salt (5g), Dried Lime (5g), Ghee (10g), Water (100g)",0,0,0,0,0,0,Fragrant Gulf-style spiced rice with your choice of protein,,,Next Page
Biryani & Risotto,Beetroot Risotto,Chicken,Standard,25,"Arborio Rice (160g), Beetroot Puree (50g), Chicken (100g), Onion (20g), Parmesan (15g), Butter (15g), Chicken Stock (100g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Creamy beetroot risotto with a rich and earthy flavor,,,Next Page
Biryani & Risotto,Beetroot Risotto,Shrimp,Standard,25,"Arborio Rice (160g), Beetroot Puree (50g), Shrimp (90g), Onion (20g), Parmesan (15g), Butter (15g), Fish Stock (100g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Creamy beetroot risotto with a rich and earthy flavor,,,Next Page
Biryani & Risotto,Mix Sauce Risotto,Chicken,Standard,35,"Arborio Rice (150g), Chicken (100g), Onion (20g), Parmesan (15g), Butter (15g), Mixed Sauce (60g: Tomato & Cream), Chicken Stock (100g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Creamy risotto finished with a rich mixed sauce,,,Next Page
Biryani & Risotto,Mix Sauce Risotto,Shrimp,Standard,30,"Arborio Rice (150g), Shrimp (90g), Onion (20g), Parmesan (15g), Butter (15g), Mixed Sauce (60g), Fish Stock (100g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Creamy risotto finished with a rich mixed sauce,,,Next Page
Biryani & Risotto,White Sauce Risotto,Chicken,Standard,35,"Arborio Rice (150g), Chicken (100g), Onion (20g), Parmesan (15g), Butter (15g), White Sauce (60g: Cream & Parmesan), Chicken Stock (100g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Creamy risotto finished with smooth white sauce,,,Next Page
Biryani & Risotto,White Sauce Risotto,Shrimp,Standard,30,"Arborio Rice (150g), Shrimp (90g), Onion (20g), Parmesan (15g), Butter (15g), White Sauce (60g), Fish Stock (100g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Creamy risotto finished with smooth white sauce,,,Next Page
Biryani & Risotto,Chicken Risotto,Chicken,Standard,35,"Arborio Rice (160g), Chicken (110g), Onion (20g), Parmesan (15g), Butter (15g), Chicken Stock (110g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Creamy Italian-style risotto prepared with tender chicken,,,Next Page
Biryani & Risotto,Shrimp Risotto,Shrimp,Standard,30,"Arborio Rice (160g), Shrimp (100g), Onion (20g), Parmesan (15g), Butter (15g), Fish Stock (110g), White Wine (20g), Salt (3g), Pepper (2g)",0,0,0,0,0,0,Shrimp risotto,,,Next Page
Salad,Greek Salad,No Meat,Standard,30,"Lettuce (40g), Cucumber (30g), Tomatoes (30g), Red Onion (15g), Feta Cheese (25g), Olives (15g), Olive Oil (10g), Oregano (2g), Salt (1g), Pepper (1g)",0,0,0,0,0,0,"Fresh Greek salad with crisp vegetables, feta and olives",,,"Chicken (+5 AED), White Fish (+5 AED), Shrimp (+8 AED), Beef (+8 AED), Salmon (+10 AED)"
Salad,Greek Salad,Grilled Chicken,Standard,35,"Grilled Chicken (60g), Lettuce (35g), Cucumber (25g), Tomatoes (25g), Red Onion (15g), Feta Cheese (20g), Olives (10g), Olive Oil (8g), Oregano (2g), Salt (1g), Pepper (1g)",0,0,0,0,0,0,"Fresh Greek salad with crisp vegetables, feta and olives",,,"Chicken (+5 AED), White Fish (+5 AED), Shrimp (+8 AED), Beef (+8 AED), Salmon (+10 AED)"
